Fecha,Mes,Derivex_Max,Derivex_Min
2014-06,2015-05,179.23,161.0
2014-06,2015-06,165.94,158.59
2014-06,2015-07,165.94,158.59
2014-06,2015-08,165.94,158.59
2014-06,2015-09,172.0,159.56
2014-06,2015-10, 172.00   , 159.56   
2014-06,2015-11,180.13,164.0
2014-07,2014-07,214.07,164.5
2014-07,2014-08,212.62,173.0
2014-07,2014-09,240.79,180.0
2014-07,2014-10,245.0,200.0
2014-07,2014-11,241.16,192.58
2014-07,2014-12,231.01,180.0
2014-07,2015-01,217.17,183.0
2014-07,2015-02,236.06,182.0
2014-07,2015-03,231.16,180.5
2014-07,2015-04,191.09,172.08
2014-07,2015-05,178.45,152.19
2014-07,2015-06,158.0,141.36
2014-07,2015-07,165.55,147.43
2014-07,2015-08,165.55,147.43
2014-07,2015-09,160.63,147.43
2014-07,2015-10, 168.80   , 153.80   
2014-07,2015-11,168.8,153.8
2014-07,2015-12,168.8,153.8
2014-08,2014-08,274.5,199.98
2014-08,2014-09,225.21,196.0
2014-08,2014-10,220.0,207.5
2014-08,2014-11,200.0,195.83
2014-08,2014-12,223.12,189.19
2014-08,2015-01,201.17,192.19
2014-08,2015-02,227.5,198.46
2014-08,2015-03,205.78,190.6
2014-08,2015-04,191.41,175.0
2014-08,2015-05,172.5,155.09
2014-08,2015-06,153.71,138.0
2014-08,2015-07,151.56,141.03
2014-08,2015-08,153.35,142.62
2014-08,2015-09,153.35,142.62
2014-08,2015-10, 155.00   , 142.62   
2014-08,2015-11,156.86,148.0
2014-08,2015-12,156.86,148.0
2014-08,2016-01,156.86,148.0
2014-09,2014-09,206.74,170.0
2014-09,2014-10,220.0,190.0
2014-09,2014-11,201.44,199.0
2014-09,2014-12,230.41,190.0
2014-09,2015-01,200.0,195.53
2014-09,2015-02,223.29,200.0
2014-09,2015-03,207.92,191.42
2014-09,2015-04,186.4,175.0
2014-09,2015-05,163.5,155.0
2014-09,2015-06,140.0,131.97
2014-09,2015-07,147.64,140.0
2014-09,2015-08,155.0,147.16
2014-09,2015-09,159.56,146.88
2014-09,2015-10, 159.56   , 146.88   
2014-09,2015-11,159.56,146.88
2014-09,2015-12,155.87,148.0
2014-09,2016-01,155.87,148.0
2014-09,2016-02,155.61,148.0
2014-10,2014-10,224.02,198.0
2014-10,2014-11,220.0,198.0
2014-10,2014-12,237.56,202.0
2014-10,2015-01,223.94,199.0
2014-10,2015-02,244.08,213.23
2014-10,2015-03,227.5,192.18
2014-10,2015-04,189.81,178.0
2014-10,2015-05,172.54,156.51
2014-10,2015-06,140.0,134.97
2014-10,2015-07,147.69,141.0
2014-10,2015-08,153.5,147.0
2014-10,2015-09,152.85,149.54
2014-10,2015-10, 162.98   , 147.21   
2014-10,2015-11,162.98,147.21
2014-10,2015-12,162.98,147.21
2014-10,2016-01,162.25,151.5
2014-10,2016-02,162.25,151.5
2014-10,2016-03,162.25,150.0
2014-11,2014-11,200.0,170.0
2014-11,2014-12,203.62,192.0
2014-11,2015-01,210.0,195.27
2014-11,2015-02,233.89,213.99
2014-11,2015-03,213.85,194.59
2014-11,2015-04,189.55,175.5
2014-11,2015-05,172.54,150.0
2014-11,2015-06,140.0,130.75
2014-11,2015-07,149.34,136.23
